gene_name,uniprot,hgnc_symbol,ensembl
ACKR1,Q16570,ACKR1,ENSG00000213088
ACKR2,O00590,ACKR2,ENSG00000144648
ACKR4,Q9NPB9,ACKR4,ENSG00000129048
ACVR1,Q04771,ACVR1,ENSG00000115170
ACVR1B,P36896,ACVR1B,ENSG00000135503
ACVR1C,Q8NER5,ACVR1C,ENSG00000123612
ACVR2A,P27037,ACVR2A,ENSG00000121989
ACVR2B,Q13705,ACVR2B,ENSG00000114739
ACVRL1,P37023,ACVRL1,ENSG00000139567
ALK,Q9UM73,ALK,ENSG00000171094
AMH,P03971,AMH,ENSG00000104899
AMHR2,Q16671,AMHR2,ENSG00000135409
APP,P05067,APP,ENSG00000142192
AREG,P15514,AREG,ENSG00000109321
ARTN,Q5T4W7,ARTN,ENSG00000117407
BDNF,P23560,BDNF,ENSG00000176697
BMP10,O95393,BMP10,ENSG00000163217
BMP15,O95972,BMP15,ENSG00000130385
BMP2,P12643,BMP2,ENSG00000125845
BMP3,P12645,BMP3,ENSG00000152785
BMP4,P12644,BMP4,ENSG00000125378
BMP5,P22003,BMP5,ENSG00000112175
BMP6,P22004,BMP6,ENSG00000153162
BMP7,P18075,BMP7,ENSG00000101144
BMP8A,Q7Z5Y6,BMP8A,ENSG00000183682
BMPR1A,P36894,BMPR1A,ENSG00000107779
BMPR1B,O00238,BMPR1B,ENSG00000138696
BMPR2,Q13873,BMPR2,ENSG00000204217
BTC,P35070,BTC,ENSG00000174808
CADM1,Q9BY67,CADM1,ENSG00000182985
CADM3,Q8N126,CADM3,ENSG00000162706
CCL1,P22362,CCL1,ENSG00000108702
CCL11,P51671,CCL11,ENSG00000172156
CCL13,Q99616,CCL13,ENSG00000181374
CCL14,Q16627,CCL14,ENSG00000276409
CCL14,Q16627,CCL14,ENSG00000277236
CCL15,Q16663,CCL15,ENSG00000275718
CCL15,Q16663,CCL15,ENSG00000275528
CCL16,O15467,CCL16,ENSG00000275095
CCL16,O15467,CCL16,ENSG00000275152
CCL17,Q92583,CCL17,ENSG00000102970
CCL18,P55774,CCL18,ENSG00000278006
CCL18,P55774,CCL18,ENSG00000275385
CCL18,P55774,CCL18,ENSG00000278167
CCL19,Q99731,CCL19,ENSG00000172724
CCL2,P13500,CCL2,ENSG00000108691
CCL20,P78556,CCL20,ENSG00000115009
CCL21,O00585,CCL21,ENSG00000137077
CCL22,O00626,CCL22,ENSG00000102962
CCL23,P55773,CCL23,ENSG00000274736
CCL23,P55773,CCL23,ENSG00000276114
CCL24,O00175,CCL24,ENSG00000106178
CCL25,O15444,CCL25,ENSG00000131142
CCL26,Q9Y258,CCL26,ENSG00000006606
CCL27,Q9Y4X3,CCL27,ENSG00000213927
CCL3,P10147,CCL3,ENSG00000274221
