partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
ACVL1_BMPR2,O95393,,BMP10_HUMAN,user_curated,PMID: 22710174
ACVL1_BMPR2,Q9UK05,,GDF2_HUMAN,user_curated,PMID: 22710174
ACVR1_BMPR2,P18075,,BMP7_HUMAN,user_curated,PMID: 22710174
ACVR1_BMPR2,P22003,,BMP5_HUMAN,user_curated,PMID: 22710174
ACVR1_BMPR2,P22004,,BMP6_HUMAN,user_curated,PMID: 22710174
ACVR1_BMPR2,Q7Z5Y6,,BMP8A_HUMAN,user_curated,PMID: 22710174
ACVR_1A2A receptor,P08476,,INHBA_HUMAN,user_curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
ACVR_1A2A receptor,P09529,,INHBB_HUMAN,user_curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
ACVR_1A2A receptor,P18075,,BMP7_HUMAN,user_curated,PMID: 22710174
ACVR_1A2A receptor,P22003,,BMP5_HUMAN,user_curated,PMID: 22710174
ACVR_1A2A receptor,P22004,,BMP6_HUMAN,user_curated,PMID: 22710174
ACVR_1A2A receptor,Q7Z5Y6,,BMP8A_HUMAN,user_curated,PMID: 22710174
ACVR_1A2B receptor,P08476,,INHBA_HUMAN,user_curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
ACVR_1A2B receptor,P09529,,INHBB_HUMAN,user_curated,less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage
ACVR_1A2B receptor,P18075,,BMP7_HUMAN,user_curated,PMID: 22710174
ACVR_1A2B receptor,P22003,,BMP5_HUMAN,user_curated,PMID: 22710174
ACVR_1A2B receptor,P22004,,BMP6_HUMAN,user_curated,PMID: 22710174
ACVR_1A2B receptor,Q7Z5Y6,,BMP8A_HUMAN,user_curated,PMID: 22710174
ACVR_1B2A receptor,O14793,,GDF8_HUMAN,user_curated,PMID: 22710174
ACVR_1B2A receptor,O95390,,GDF11_HUMAN,user_curated,PMID: 22710174
ACVR_1B2A receptor,P08476,,INHBA_HUMAN,user_curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
ACVR_1B2A receptor,P09529,,INHBB_HUMAN,user_curated,PMID: 22710174 & rndsystem webpage; PMID: 22991378
