id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	1|1	1|2	1|3	1|4	1|5	1|6	1|7	1|8	2|1	2|2	2|3	2|4	2|5	2|6	2|7	2|8	3|1	3|2	3|3	3|4	3|5	3|6	3|7	3|8	4|1	4|2	4|3	4|4	4|5	4|6	4|7	4|8	5|1	5|2	5|3	5|4	5|5	5|6	5|7	5|8	6|1	6|2	6|3	6|4	6|5	6|6	6|7	6|8	7|1	7|2	7|3	7|4	7|5	7|6	7|7	7|8	8|1	8|2	8|3	8|4	8|5	8|6	8|7	8|8
CPI-CS08CC8F9D3	ACVR1_BMPR2_BMP7	complex:ACVR1_BMPR2	simple:P18075		BMP7	True	True	False	user_curated	False	0.156	0.109	0.295	0.168	0.217	0.098	0.098	0.081	0.169	0.122	0.308	0.181	0.229	0.111	0.111	0.094	0.199	0.152	0.338	0.211	0.259	0.14	0.141	0.124	0.142	0.095	0.281	0.154	0.203	0.084	0.085	0.068	0.106	0.059	0.245	0.118	0.167	0.048	0.049	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.071	0.257	0.13	0.178	0.059	0.06	0.043	0.215	0.168	0.354	0.227	0.276	0.157	0.157	0.14
CPI-CS046B3C139	ACVR_1A2A receptor_BMP7	complex:ACVR_1A2A receptor	simple:P18075		BMP7	True	True	False	user_curated	False	0.156	0.109	0.295	0.168	0.217	0.098	0.098	0.081	0.12	0.072	0.258	0.132	0.18	0.061	0.062	0.045	0.194	0.147	0.333	0.207	0.255	0.136	0.137	0.12	0.142	0.095	0.281	0.154	0.203	0.084	0.085	0.068	0.106	0.059	0.245	0.118	0.167	0.048	0.049	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.071	0.257	0.13	0.178	0.059	0.06	0.043	0.136	0.089	0.275	0.148	0.197	0.078	0.078	0.061
CPI-CS0288D901D	ACVR_1A2B receptor_BMP7	complex:ACVR_1A2B receptor	simple:P18075		BMP7	True	True	False	user_curated	False	0.145	0.098	0.284	0.157	0.206	0.087	0.088	0.071	0.139	0.092	0.278	0.152	0.2	0.081	0.082	0.065	0.165	0.117	0.303	0.177	0.225	0.106	0.107	0.09	0.113	0.066	0.252	0.125	0.173	0.054	0.055	0.038	0.106	0.059	0.245	0.118	0.167	0.048	0.049	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.053	0.239	0.113	0.161	0.042	0.043	0.026	0.171	0.124	0.31	0.183	0.232	0.113	0.114	0.096
CPI-CS05EAF93CC	BMPR1A_BMPR2_BMP7	complex:BMPR1A_BMPR2	simple:P18075		BMP7	True	True	False	user_curated	False	0.151	0.103	0.289	0.163	0.211	0.092	0.093	0.076	0.166	0.118	0.304	0.178	0.226	0.107	0.108	0.091	0.182	0.134	0.321	0.194	0.242	0.123	0.124	0.107	0.157	0.11	0.296	0.169	0.217	0.099	0.099	0.082	0.144	0.097	0.283	0.156	0.205	0.086	0.086	0.069	0.1	0.053	0.239	0.112	0.161	0.042	0.043	0.025	0.118	0.071	0.257	0.13	0.178	0.059	0.06	0.043	0.206	0.159	0.345	0.218	0.267	0.148	0.149	0.132
CPI-CS0D35E69F6	BMR1A_ACR2A_BMP7	complex:BMR1A_ACR2A	simple:P18075		BMP7	True	True	False	user_curated	False	0.151	0.103	0.289	0.163	0.211	0.092	0.093	0.076	0.12	0.072	0.258	0.132	0.18	0.061	0.062	0.045	0.182	0.134	0.321	0.194	0.242	0.123	0.124	0.107	0.157	0.11	0.296	0.169	0.217	0.099	0.099	0.082	0.121	0.074	0.26	0.133	0.182	0.063	0.064	0.047	0.092	0.045	0.231	0.104	0.152	0.033	0.034	0.017	0.118	0.071	0.257	0.13	0.178	0.059	0.06	0.043	0.136	0.089	0.275	0.148	0.197	0.078	0.078	0.061
CPI-CS0C99F8D96	BMR1A_AVR2B_BMP7	complex:BMR1A_AVR2B	simple:P18075		BMP7	True	True	False	user_curated	False	0.145	0.098	0.284	0.157	0.206	0.087	0.088	0.071	0.139	0.092	0.278	0.152	0.2	0.081	0.082	0.065	0.165	0.117	0.303	0.177	0.225	0.106	0.107	0.09	0.113	0.066	0.252	0.125	0.173	0.054	0.055	0.038	0.121	0.074	0.26	0.133	0.182	0.063	0.064	0.047	0.092	0.045	0.231	0.104	0.152	0.033	0.034	0.017	0.101	0.053	0.239	0.113	0.161	0.042	0.043	0.026	0.171	0.124	0.31	0.183	0.232	0.113	0.114	0.096
CPI-CS091BF99D0	ACVR_1A2A receptor_INHBA	complex:ACVR_1A2A receptor	simple:P08476		INHBA	True	True	False	user_curated	False	0.0	0.115	0.0	0.0	0.163	0.0	0.0	0.0	0.0	0.079	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.202	0.0	0.0	0.0	0.0	0.102	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.144	0.0	0.0	0.0
CPI-CS04DD927C9	ACVR_1A2B receptor_INHBA	complex:ACVR_1A2B receptor	simple:P08476		INHBA	True	True	False	user_curated	False	0.0	0.105	0.0	0.0	0.153	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.172	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.179	0.0	0.0	0.0
CPI-CS0533A30DC	ACVR_1B2A receptor_INHBA	complex:ACVR_1B2A receptor	simple:P08476		INHBA	True	True	False	user_curated	False	0.0	0.153	0.0	0.0	0.201	0.0	0.0	0.0	0.0	0.079	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.202	0.0	0.0	0.0	0.0	0.102	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.134	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.144	0.0	0.0	0.0
CPI-CS0C159B54D	ACVR_1B2B receptor_INHBA	complex:ACVR_1B2B receptor	simple:P08476		INHBA	True	True	False	user_curated	False	0.0	0.105	0.0	0.0	0.153	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.172	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.104	0.0	0.0	0.152	0.0	0.0	0.0
