gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	EC-cells SCG2	M-X-cells MLN,GHRL	G-K-cells GAST,GIP	Enterocytes	Paneth cells	EC-cells CHGA,REG4	Stem cells	L-cells NTS	L-cells PYY or D-cells SST	L-cells	D-cells SST	EC-cells TPH1,REG4
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.141	0.111	0.092	0.006	0.07	0.172	0.03	0.109	0.071	0.046	0.035	0.115
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.141	0.111	0.092	0.006	0.07	0.172	0.03	0.109	0.071	0.046	0.035	0.115
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.141	0.111	0.092	0.006	0.07	0.172	0.03	0.109	0.071	0.046	0.035	0.115
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.141	0.111	0.092	0.006	0.07	0.172	0.03	0.109	0.071	0.046	0.035	0.115
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.141	0.111	0.092	0.006	0.07	0.172	0.03	0.109	0.071	0.046	0.035	0.115
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.141	0.111	0.092	0.006	0.07	0.172	0.03	0.109	0.071	0.046	0.035	0.115
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.141	0.111	0.092	0.006	0.07	0.172	0.03	0.109	0.071	0.046	0.035	0.115
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.1	0.105	0.092	0.006	0.018	0.155	0.007	0.109	0.087	0.033	0.028	0.073
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.1	0.105	0.092	0.006	0.018	0.155	0.007	0.109	0.087	0.033	0.028	0.073
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.1	0.105	0.092	0.006	0.018	0.155	0.007	0.109	0.087	0.033	0.028	0.073
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.1	0.105	0.092	0.006	0.018	0.155	0.007	0.109	0.087	0.033	0.028	0.073
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.1	0.105	0.092	0.006	0.018	0.155	0.007	0.109	0.087	0.033	0.028	0.073
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.1	0.105	0.092	0.006	0.018	0.155	0.007	0.109	0.087	0.033	0.028	0.073
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.1	0.105	0.092	0.006	0.018	0.155	0.007	0.109	0.087	0.033	0.028	0.073
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.294	0.457	0.526	0.006	0.07	0.181	0.043	0.238	0.263	0.111	0.083	0.244
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.259	0.222	0.237	0.018	0.018	0.103	0.013	0.113	0.104	0.111	0.076	0.205
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.259	0.222	0.237	0.018	0.018	0.103	0.013	0.113	0.104	0.111	0.076	0.205
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.259	0.222	0.237	0.018	0.018	0.103	0.013	0.113	0.104	0.111	0.076	0.205
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.259	0.222	0.237	0.018	0.018	0.103	0.013	0.113	0.104	0.111	0.076	0.205
