gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	5	1	6	4	2	3	7	8
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.045	0.145	0.0	0.118	0.171	0.231	0.069	0.263
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.045	0.145	0.0	0.118	0.072	0.222	0.069	0.105
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.045	0.145	0.0	0.118	0.072	0.222	0.069	0.105
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.045	0.145	0.0	0.118	0.072	0.222	0.069	0.105
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.045	0.124	0.0	0.059	0.112	0.162	0.034	0.175
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.045	0.124	0.0	0.059	0.112	0.162	0.034	0.175
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.045	0.124	0.0	0.059	0.112	0.162	0.034	0.175
ACVR1	Q04771	True	ACVR1_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.045	0.145	0.0	0.118	0.171	0.231	0.069	0.263
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.121	0.134	0.033	0.147	0.164	0.197	0.069	0.246
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.121	0.134	0.033	0.147	0.164	0.197	0.069	0.246
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.121	0.134	0.033	0.147	0.164	0.197	0.069	0.246
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.045	0.145	0.0	0.118	0.072	0.222	0.069	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.045	0.145	0.0	0.118	0.072	0.222	0.069	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.045	0.145	0.0	0.118	0.072	0.222	0.069	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.076	0.134	0.017	0.147	0.072	0.197	0.069	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.076	0.134	0.017	0.147	0.072	0.197	0.069	0.105
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.076	0.134	0.017	0.147	0.072	0.197	0.069	0.105
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.045	0.124	0.0	0.059	0.112	0.162	0.034	0.175
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.045	0.124	0.0	0.059	0.112	0.162	0.034	0.175
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.045	0.124	0.0	0.059	0.112	0.162	0.034	0.175
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.123
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.123
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.123
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.076	0.016	0.0	0.059	0.059	0.085	0.034	0.07
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.175
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.175
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.175
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.076	0.22	0.017	0.118	0.072	0.222	0.086	0.105
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.123
ACVR1B	P36896	True	ACV1B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.076	0.124	0.017	0.059	0.112	0.162	0.034	0.123
